0	0.43298	love i'm don't night tonight time i've day 
1	0.02984	i’m it’s don’t ioway girl chop you’ll things 
2	0.02574	invented bar glow taught shan't dialogue wand'rin joyous 
3	0.02922	you're love it's true let's hot darn baby 
4	0.02905	morning heaven church genevieve wand'rin run girls ev'ry 
5	0.03785	can't hear band ragtime naturally happy doin avenue 
6	0.02838	steal pure miracle todd grandmother's giant lay i'll 
7	0.06036	ago they’ve rye oh-ho drool green dope wang 
8	0.02787	fannie wash hair scared roll world eyelashes blonde 
9	0.02775	woods it's pretty sir henrik good you're festival 
